id,created_at,updated_at,first_name,last_name,email,address,city,post_code,email_marketing_status,email_opted_out_date
1,2021-08-06 08:43:30,2023-08-01 11:27:06,Clifford,Ray,clifford.ray@example.com,989 Kelsey Route Suite 859,East Davidport,20598,opted_in,
2,2021-05-10 00:03:01,2023-08-03 04:37:15,Zachary,Riley,zachary.riley@example.com,350 Veronica Squares,Lauraside,68834,opted_in,
3,2020-09-10 19:04:19,2023-08-01 13:42:12,Katherine,Flores,katherine.flores@example.com,54243 Lopez Hollow Apt. 636,Lake Maxwellside,33813,opted_in,
4,2020-11-25 14:30:59,2023-08-02 19:19:01,Nicholas,Tucker,nicholas.tucker@example.com,946 Amanda Wells,Moyerton,04017,opted_in,
5,2022-03-02 09:30:29,2023-08-02 12:16:14,Megan,Duran,megan.duran@example.com,0513 Nicholas Highway Suite 738,East Sierraburgh,42158,opted_in,
6,2020-04-28 05:14:01,2023-08-01 23:36:41,Mark,Jenkins,mark.jenkins@example.com,087 Chen Fork Suite 201,Hintonport,01948,opted_in,
7,2021-06-18 15:58:35,2023-08-02 04:23:00,Ryan,Yates,ryan.yates@example.com,478 Deborah Ramp,Lake Jenniferton,37432,opted_out,2023-06-09 20:03:39
8,2022-04-24 08:21:18,2023-08-03 06:26:57,Stephen,Macdonald,stephen.macdonald@example.com,407 Julia Flat Suite 510,Huffmantown,07356,opted_in,
9,2023-04-26 01:14:22,2023-08-04 06:57:33,Rachel,Edwards,rachel.edwards@example.com,498 Erin Trace Apt. 433,Port Sylviaside,18720,opted_in,
10,2021-11-01 11:58:47,2023-08-03 01:16:16,Joseph,Hayden,joseph.hayden@example.com,138 Andrews Skyway,Lake William,75152,opted_in,
11,2021-09-07 19:00:21,2023-08-01 23:20:43,Lori,Guzman,lori.guzman@example.com,0390 Kristina Mount,Lake Stacey,82379,opted_in,
12,2020-05-15 11:24:31,2023-08-03 18:31:41,Alexander,Bryant,alexander.bryant@example.com,4713 Walsh Mews Apt. 151,Michaelmouth,92003,opted_in,
13,2022-05-24 22:10:15,2023-08-01 13:25:09,Jeremy,Brown,jeremy.brown@example.com,1227 Cunningham Junctions,Stacyside,98970,opted_in,
14,2022-08-06 12:08:51,2023-08-01 22:50:32,Brenda,Thompson,brenda.thompson@example.com,895 Sara Motorway Apt. 717,Port Tina,57697,opted_out,2023-04-16 10:36:09
15,2021-10-12 22:18:19,2023-08-02 21:58:24,Sara,Lee,sara.lee@example.com,378 Martinez Estate Apt. 182,Owensborough,33636,opted_in,
16,2021-06-25 02:01:20,2023-08-01 21:34:10,Jennifer,Carpenter,jennifer.carpenter@example.com,82988 Mills Villages,Chavezberg,17700,opted_in,
17,2023-03-25 18:32:17,2023-08-03 09:46:08,Jennifer,Kirk,jennifer.kirk@example.com,4794 Bowman Dam Suite 687,Christyside,73184,opted_out,2023-02-06 01:54:08
18,2023-01-23 13:54:18,2023-08-03 06:04:03,Joseph,Brown,joseph.brown@example.com,660 Jasmine Pines,Rachelfurt,54690,opted_out,2023-01-05 16:43:14
19,2022-01-17 05:25:45,2023-08-02 09:06:53,Brian,Brooks,brian.brooks@example.com,5766 William Crest Suite 253,Crystalbury,34761,opted_in,
20,2023-07-10 22:17:23,2023-08-04 10:41:40,Melissa,Velez,melissa.velez@example.com,85238 Lauren Trafficway,Port Kathy,38167,opted_in,
21,2021-12-04 13:24:09,2023-08-01 08:22:59,Jennifer,Mendoza,jennifer.mendoza@example.com,296 Lawson Locks Suite 287,North Michaelburgh,40878,opted_out,2023-05-22 22:22:13
22,2021-05-30 07:24:08,2023-08-04 12:45:01,Traci,Allen,traci.allen@example.com,3524 Harris Island Suite 040,Evansborough,91197,opted_out,2023-03-29 03:20:43
23,2022-12-28 00:31:47,2023-08-03 02:25:29,Wesley,King,wesley.king@example.com,98372 Candace Dam,North Adrian,31258,opted_in,
24,2022-09-18 18:05:15,2023-08-04 05:35:24,James,Randall,james.randall@example.com,05316 Gross Stravenue Apt. 792,Toddbury,67678,opted_out,2023-07-24 16:32:31
25,2021-06-01 03:22:37,2023-08-01 07:03:09,Wanda,Levy,wanda.levy@example.com,1065 Jason Dam,Ericburgh,23483,opted_in,
26,2022-11-18 07:45:55,2023-08-02 20:02:27,Frank,Francis,frank.francis@example.com,428 Perry Plains Apt. 885,Whitakerview,58219,opted_out,2023-07-31 13:48:00
27,2022-08-26 08:40:25,2023-08-03 13:25:27,Christian,Hernandez,christian.hernandez@example.com,04039 Ryan Villages Suite 379,Hallstad,74406,opted_in,
28,2020-07-13 07:20:22,2023-08-01 23:41:59,Julia,Gardner,julia.gardner@example.com,852 Jennifer Burg Suite 302,Jamesfurt,21873,opted_out,2023-05-13 13:18:17
29,2021-05-17 11:34:10,2023-08-03 23:18:28,Jason,Barber,jason.barber@example.com,9143 Danielle Way Apt. 608,Christinahaven,76584,opted_in,
30,2023-02-10 06:02:26,2023-08-04 11:11:07,Allison,Nelson,allison.nelson@example.com,864 Morales Curve,New Whitney,14744,opted_in,
31,2021-11-11 05:34:52,2023-08-03 11:31:32,Charlotte,Mcclain,charlotte.mcclain@example.com,6127 Hale Meadows,East Kristy,45379,opted_in,
32,2022-11-17 13:09:34,2023-08-02 17:15:09,Alex,Obrien,alex.obrien@example.com,582 Hutchinson Throughway Apt. 744,Jodichester,15526,opted_in,
33,2021-05-20 01:47:44,2023-08-03 20:43:13,Krista,Elliott,krista.elliott@example.com,246 Michael Bridge Suite 932,Luisshire,18463,opted_in,
34,2021-01-15 06:39:23,2023-08-03 01:10:28,Laura,Martinez,laura.martinez@example.com,91686 Morgan Ferry Apt. 557,Loribury,78322,opted_in,
35,2023-01-07 05:38:14,2023-08-04 12:15:46,Joy,Wells,joy.wells@example.com,330 Erica Valley,New Lisa,16583,opted_out,2023-06-06 05:50:46
